easting;northing;lat;long;elev;time;name
596083.192158701;6739879.39467642;60.782736009;-139.2353979684;2192.061035;2016-05-05T00:47:33Z;69
596016.873530988;6739867.80481604;60.782647999;-139.2366209719;2196.483643;2016-05-05T00:50:40Z;70
595946.610259795;6740408.82033501;60.7875199802;-139.2376439832;2229.458984;2016-05-05T16:44:41Z;71
595469.392513933;6740754.73841383;60.7907389663;-139.2462350149;2297.412598;2016-05-05T21:33:06Z;72
595437.220254298;6740766.36663065;60.7908510324;-139.2468199879;2301.868408;2016-05-05T21:35:40Z;73
595385.016088994;6740791.82544591;60.7910920121;-139.2477659695;2309.421631;2016-05-05T21:38:55Z;74
595329.530143375;6740815.74968349;60.7913199998;-139.2487729713;2317.124023;2016-05-05T21:40:59Z;75
595275.605482985;6740840.38889417;60.7915540226;-139.2497509718;2323.931885;2016-05-05T21:43:05Z;76
595220.810499257;6740864.9963528;60.7917879615;-139.2507449817;2332.944092;2016-05-05T21:45:37Z;77
595165.92122447;6740889.06038191;60.7920170389;-139.2517410032;2338.771729;2016-05-05T21:47:33Z;78
595112.303697206;6740914.59748159;60.7922590245;-139.2527129687;2346.083252;2016-05-05T21:49:37Z;79
595055.89984123;6740940.39745772;60.7925040275;-139.25373598;2352.181152;2016-05-05T21:51:41Z;80
595001.212861555;6740963.12433517;60.792721035;-139.2547289841;2357.503174;2016-05-05T21:54:47Z;81
594973.999870328;6740974.65500181;60.7928310055;-139.2552230135;2360.69873;2016-05-05T21:58:48Z;82
594998.132640411;6740982.64747061;60.7928969711;-139.2547760066;2357.721191;2016-05-05T22:01:58Z;83
595047.566943754;6741014.05664777;60.793167036;-139.2538529914;2356.483398;2016-05-05T22:05:36Z;84
595094.210517097;6741049.95025834;60.7934780046;-139.2529790103;2356.942139;2016-05-05T22:07:31Z;85
595140.856136867;6741085.73248412;60.7937879674;-139.2521050293;2357.469971;2016-05-05T22:09:44Z;86
595190.55528543;6741121.4939882;60.7940970082;-139.2511749733;2360.24707;2016-05-05T22:11:46Z;87
595239.39430811;6741154.55264337;60.7943819929;-139.2502620164;2359.570312;2016-05-05T22:13:46Z;88
595288.681707785;6741191.30400714;60.7947000023;-139.2493390013;2357.633301;2016-05-05T22:15:44Z;89
595336.983212214;6741226.13370608;60.7950009964;-139.248435013;2359.889893;2016-05-05T22:17:36Z;90
595387.889218461;6741257.24151793;60.7952679601;-139.2474850081;2370.791992;2016-05-05T22:21:28Z;91
595441.517398808;6741296.4554309;60.795607008;-139.2464810237;2383.246338;2016-05-05T22:28:01Z;92
595447.122317867;6741247.79315005;60.7951689698;-139.2464019824;2364.571777;2016-05-05T22:32:04Z;93
595455.128085867;6741188.72463766;60.7946369704;-139.2462839652;2347.873779;2016-05-05T22:37:26Z;94
595462.101564929;6741129.5164668;60.7941039652;-139.2461849749;2345.811523;2016-05-05T22:39:27Z;95
595471.987891994;6741069.27467571;60.7935609855;-139.246033011;2342.411621;2016-05-05T22:41:38Z;96
595477.532643835;6741010.58875505;60.7930330094;-139.2459600046;2337.062988;2016-05-05T22:43:43Z;97
595481.28314559;6740951.74279779;60.7925040275;-139.245920023;2324.797363;2016-05-05T22:45:54Z;98
595486.010428412;6740891.02688902;60.7919580303;-139.245863026;2315.111816;2016-05-05T22:47:39Z;99
595492.243800739;6740831.01440423;60.7914179843;-139.2457780335;2307.202393;2016-05-05T22:49:36Z;100
595500.682794023;6740772.1817212;60.7908879966;-139.2456519697;2301.240234;2016-05-05T22:51:23Z;101
595507.343912249;6740712.40485907;60.7903499622;-139.2455590144;2296.930908;2016-05-05T22:53:45Z;102
595514.175171348;6740652.41773101;60.78981;-139.2454630416;2292.809082;2016-05-05T22:59:09Z;103
595521.645850349;6740593.11086705;60.7892759889;-139.2453549989;2287.092285;2016-05-05T23:00:53Z;104
595527.53656616;6740533.64968547;60.7887409721;-139.2452760413;2283.452881;2016-05-05T23:02:28Z;105
595535.183572477;6740473.90856863;60.7882030215;-139.2451649811;2275.001953;2016-05-05T23:04:03Z;106
595542.901927258;6740413.38479366;60.7876580302;-139.2450529989;2271.825928;2016-05-05T23:05:41Z;107
595550.903223034;6740352.53235079;60.7871100213;-139.2449359875;2268.161865;2016-05-05T23:07:51Z;108
595552.509590852;6740294.51644498;60.7865890022;-139.2449349817;2267.605713;2016-05-05T23:09:28Z;109
595558.30922237;6740234.38971535;60.7860480342;-139.2448580358;2269.096191;2016-05-05T23:11:30Z;110
595588.178029848;6740241.97902879;60.7861089706;-139.2443060037;2263.549805;2016-05-05T23:15:20Z;111
595628.781124288;6740286.08665575;60.7864950411;-139.2435389757;2255.914795;2016-05-05T23:17:16Z;112
595668.760438133;6740330.94397864;60.7868879847;-139.2427830119;2252.569336;2016-05-05T23:19:02Z;113
595710.193198475;6740374.51440791;60.787269026;-139.2420009803;2254.168213;2016-05-05T23:21:05Z;114
595749.605544588;6740418.13395004;60.7876509894;-139.2412559967;2255.097656;2016-05-05T23:22:48Z;115
595789.070550958;6740465.88376714;60.7880700007;-139.2405079957;2255.586426;2016-05-05T23:25:04Z;116
595831.959394251;6740507.8228577;60.7884360384;-139.2396999802;2257.577637;2016-05-05T23:27:00Z;117
595872.14957854;6740552.80038609;60.7888299879;-139.2389399931;2263.222656;2016-05-05T23:28:49Z;118
595878.24674677;6740573.13898252;60.789011037;-139.2388180364;2266.206055;2016-05-05T23:30:31Z;119
595824.477785917;6740595.76619079;60.7892270386;-139.2397940252;2271.295898;2016-05-05T23:33:04Z;120
595768.361273536;6740620.666315;60.789463995;-139.2408120073;2276.644043;2016-05-05T23:35:30Z;121
595714.476246521;6740645.63642044;60.7897010352;-139.241789002;2279.87915;2016-05-05T23:37:18Z;122
595659.417384136;6740671.67802863;60.7899479661;-139.2427870352;2281.348633;2016-05-05T23:39:07Z;123
595605.318458137;6740694.63584789;60.7901669852;-139.2437689751;2288.21875;2016-05-05T23:41:10Z;124
595548.09844736;6740718.0713956;60.7903910335;-139.2448079959;2295.146729;2016-05-05T23:43:07Z;125
595520.637613811;6740730.70288311;60.7905109785;-139.2453059647;2297.818604;2016-05-05T23:44:34Z;126
595300.713187481;6740572.94785476;60.7891479973;-139.2494209763;2304.446045;2016-05-06T00:09:14Z;127
595257.545028635;6740612.69731854;60.7895150408;-139.2501940392;2309.21875;2016-05-06T00:12:18Z;128
595225.385620439;6740664.76154709;60.7899899594;-139.2507589795;2316.906738;2016-05-06T00:14:38Z;129
595194.120282446;6740715.85979991;60.7904559933;-139.2513079941;2323.547119;2016-05-06T00:17:18Z;130
595166.436047938;6740767.60477161;60.7909269724;-139.2517909594;2327.739502;2016-05-06T00:19:27Z;131
595182.248843294;6740826.08476895;60.7914479915;-139.251472028;2332.542725;2016-05-06T00:21:44Z;132
595198.530436568;6740883.56861126;60.7919599582;-139.2511449661;2336.655762;2016-05-06T00:24:05Z;133
595235.402528206;6740928.45979087;60.7923539914;-139.2504459992;2335.506592;2016-05-06T00:26:09Z;134
595281.21066729;6740969.12511855;60.7927079592;-139.2495850101;2334.342773;2016-05-06T00:28:40Z;135
595327.072249093;6741009.80183858;60.7930620108;-139.2487230152;2333.216064;2016-05-06T00:31:17Z;136
595368.400815571;6741048.90107742;60.7934029866;-139.2479450069;2335.582031;2016-05-06T00:33:50Z;137
595426.606609964;6741037.19251071;60.7932839636;-139.246882014;2335.80249;2016-05-06T00:36:01Z;138
595486.182518152;6741025.30667936;60.7931630127;-139.2457939591;2331.729492;2016-05-06T00:38:12Z;139
595544.642244833;6741012.15905871;60.7930309977;-139.2447270267;2325.452148;2016-05-06T00:40:03Z;140
595583.589223865;6740977.42792673;60.7927099708;-139.2440289818;2316.579102;2016-05-06T00:42:42Z;141
595623.192681162;6740932.35643634;60.7922959886;-139.2433239799;2308.715088;2016-05-06T00:46:01Z;142
595663.685190367;6740884.63785136;60.7918580342;-139.2426039744;2299.65918;2016-05-06T00:48:40Z;143
595701.350973548;6740840.7388436;60.7914550323;-139.2419340089;2287.748291;2016-05-06T00:57:38Z;144
595715.352882852;6740781.60725149;60.7909210213;-139.2417060211;2280.072021;2016-05-06T01:01:30Z;145
595731.260138462;6740724.64700007;60.7904060371;-139.2414419912;2277.702393;2016-05-06T01:03:49Z;146
595742.410545668;6740666.32640332;60.7898799889;-139.2412659712;2275.431396;2016-05-06T01:05:46Z;147
595732.110699181;6740607.55238456;60.7893550303;-139.2414839845;2268.09375;2016-05-06T01:07:35Z;148
595720.933292536;6740548.96972553;60.7888319995;-139.2417180073;2262.691162;2016-05-06T01:10:11Z;149
595682.544813437;6740503.81805256;60.7884360384;-139.2424449697;2261.679688;2016-05-06T01:12:25Z;150
595642.396172785;6740459.05869898;60.7880440168;-139.2432040349;2260.417236;2016-05-06T01:14:32Z;151
595589.25562086;6740444.03710259;60.7879219763;-139.2441869807;2263.395752;2016-05-06T01:16:48Z;152
595528.946192843;6740446.44029056;60.7879580185;-139.2452929728;2269.270508;2016-05-06T01:18:59Z;153
595469.921051104;6740449.65405016;60.7880010176;-139.2463749927;2273.421631;2016-05-06T01:21:23Z;154
595421.650695776;6740484.57651154;60.788325984;-139.2472440284;2281.253906;2016-05-06T01:23:42Z;155
595372.055903736;6740518.35275078;60.788640976;-139.2481379583;2288.465576;2016-05-06T01:25:59Z;156
595325.026768453;6740555.76606592;60.7889879867;-139.2489830218;2295.172363;2016-05-06T01:27:58Z;157
595346.457192364;6741995.16226308;60.8018999733;-139.2478839867;2508.627197;2016-05-06T23:30:41Z;158
596233.435171714;6740041.67141728;60.7841559872;-139.2325600237;2179.078613;2016-05-07T01:05:39Z;159
596215.925677865;6739983.92526279;60.7836420089;-139.2329099681;2175.663574;2016-05-07T01:08:26Z;160
596210.440313255;6739924.60686399;60.7831110153;-139.2330399714;2174.633301;2016-05-07T01:10:21Z;161
596206.83875134;6739864.00354201;60.7825680356;-139.2331360281;2172.900879;2016-05-07T01:12:29Z;162
596232.420617765;6739810.41597485;60.7820809633;-139.2326929607;2168.592041;2016-05-07T01:14:42Z;163
596260.660387836;6739757.02158634;60.7815949805;-139.2322010268;2166.262207;2016-05-07T01:17:01Z;164
596308.980926909;6739727.01486034;60.7813140191;-139.2313289735;2162.247559;2016-05-07T01:19:03Z;165
596365.866043107;6739704.59051078;60.7810990233;-139.2302959878;2156.701416;2016-05-07T01:21:19Z;166
596423.786830913;6739692.21712724;60.7809739653;-139.2292390298;2152.737061;2016-05-07T01:23:32Z;167
596485.160844408;6739689.30622542;60.7809329778;-139.2281140108;2141.35376;2016-05-07T01:25:16Z;168
596541.626084504;6739700.75058282;60.7810219936;-139.2270719726;2131.249756;2016-05-07T01:27:00Z;169
596589.749286269;6739738.48751932;60.7813489717;-139.226169996;2129.323975;2016-05-07T01:29:10Z;170
596637.24288913;6739775.32078498;60.7816679869;-139.2252800055;2122.943848;2016-05-07T01:31:32Z;171
596665.819020495;6739822.67386023;60.7820859924;-139.2247319967;2117.783691;2016-05-07T01:33:40Z;172
596676.50639561;6739880.68619152;60.782603994;-139.2245070264;2117.18042;2016-05-07T01:35:48Z;173
