X,Y,Donjek_asp,northness,profilecur,tangential,Sx_G2_d200,Sx_G13_d20,Donjek_slo,DonjekDEM_,Sx_G4_d200
596581.897352447,6739732.33024139,62.74467,0.05277,-0.00265,-0.00352,22.77000,-0.72000,6.61699,2141.00000,11.75000
596629.351059225,6739769.20034244,127.87498,0.00000,-0.00208,0.00002,13.42000,-2.86000,4.07606,2140.00000,7.11000
596660.641563261,6739814.09437412,97.12502,-0.01244,0.00051,0.00156,5.30000,-5.89000,5.75474,2139.00000,3.17000
596674.698421241,6739870.87229363,90.00000,-0.00311,-0.00144,-0.00145,6.05000,-1.43000,5.71059,2137.00000,7.01000
596683.525591414,6739930.30831942,140.90614,-0.09918,0.00004,-0.00190,3.71000,-4.29000,7.34194,2137.00000,4.47000
596675.450474324,6739988.78803882,100.17551,0.00000,-0.00220,0.00100,5.05000,-1.43000,7.05858,2143.00000,5.05000
596648.473121682,6740039.21209185,109.29005,-0.04337,-0.00075,-0.00212,5.05000,-6.32000,7.54407,2144.00000,7.01000
596605.45830501,6740081.99755005,132.51045,-0.01555,-0.00102,-0.00063,3.54000,-2.86000,5.80943,2152.00000,5.75000
596554.203917364,6740110.01577004,103.17255,-0.05892,0.00087,-0.00007,3.54000,-4.16000,8.57805,2162.00000,5.75000
596503.003464782,6740139.04301735,117.25533,-0.05277,0.00138,-0.00326,6.05000,-4.76000,6.61699,2168.00000,6.05000
596449.973639991,6740147.72415765,95.19443,-0.00932,-0.00177,-0.00401,8.05000,-1.81000,5.91192,2170.00000,8.05000
596388.705944672,6740147.89474954,87.51044,0.00619,0.00049,0.00157,3.04000,-4.85000,8.18785,2184.00000,3.97000
596330.440599248,6740150.81119156,104.03624,-0.03099,-0.00016,0.00181,2.53000,-5.32000,7.34194,2189.00000,5.75000
596287.226572886,6740121.99891596,109.98311,-0.05573,-0.00018,0.00266,3.04000,-6.43000,8.32382,2195.00000,4.47000
596253.915464562,6740072.79875879,142.12502,-0.11137,0.00056,0.00252,0.00000,-4.97000,8.11128,2194.00000,1.92000
595738.282430003,6740393.03822116,136.46880,-0.12318,-0.00086,-0.00076,4.30000,-2.72000,9.78241,2256.00000,3.20000
595808.58423668,6740333.99072841,142.12502,-0.05611,0.00093,-0.00073,4.04000,0.00000,4.07606,2247.00000,1.99000
595875.096960286,6740275.46209985,126.86990,-0.08058,0.00077,0.00026,4.55000,-3.17000,7.12502,2238.00000,3.84000
595947.717216792,6740223.27190228,115.70995,-0.04045,-0.00168,-0.00349,5.05000,0.45000,5.34991,2225.00000,5.05000
596029.410284203,6740181.7665348,119.05460,-0.03119,-0.00041,-0.00042,4.30000,-2.86000,3.68177,2220.00000,1.92000
596109.737464718,6740144.32332829,129.95755,-0.09579,-0.00125,0.00025,1.27000,-2.26000,8.57805,2210.00000,0.64000
596190.280411553,6740103.39765484,152.52557,-0.09622,0.00163,0.00001,-1.01000,-1.43000,5.03227,2203.00000,1.28000
596270.416919785,6740064.51083269,142.12502,-0.07447,0.00056,0.00252,0.00000,-4.97000,8.11128,2194.00000,1.92000
596353.09163429,6740026.27579756,127.14668,-0.07437,-0.00003,-0.00100,3.04000,-4.97000,7.37178,2182.00000,3.04000
