X;Y;field3;Sdb;WP;DonjekDEM
595312.663;6741208.6;90;0.3;90.3;2369
595379.379;6741252.04;91;0.1;91.1;2379
595370.819;6741246.81;91;0.2;91.2;2379
595362.309;6741241.61;91;0.3;91.3;2379
595433.465;6741290.57;92;0.1;92.1;2385
595425.359;6741284.64;92;0.2;92.2;2385
595417.307;6741278.75;92;0.3;92.3;2375
595445.978;6741257.73;93;0.1;93.1;2374
595444.833;6741267.67;93;0.2;93.2;2374
595443.689;6741277.6;93;0.3;93.3;2374
595453.782;6741198.66;94;0.1;94.1;2363
595452.443;6741208.53;94;0.2;94.2;2364
595451.097;6741218.47;94;0.3;94.3;2364
595460.929;6741139.47;95;0.1;95.1;2350
595459.763;6741149.37;95;0.2;95.2;2350
595458.59;6741159.33;95;0.3;95.3;2350
595470.365;6741079.16;96;0.1;96.1;2344
595468.752;6741088.99;96;0.2;96.2;2345
595467.129;6741098.88;96;0.3;96.3;2345
595476.595;6741020.52;97;0.1;97.1;2346
595475.651;6741030.5;97;0.2;97.2;2346
595474.713;6741040.43;97;0.3;97.3;2344
595480.649;6740961.7;98;0.1;98.1;2341
595480.01;6740971.71;98;0.2;98.2;2341
595479.376;6740981.67;98;0.3;98.3;2345
595485.234;6740900.99;99;0.1;99.1;2323
595484.458;6740910.96;99;0.2;99.2;2323
595483.682;6740920.93;99;0.3;99.3;2328
595491.208;6740840.99;100;0.1;100.1;2313
595490.178;6740850.9;100;0.2;100.2;2313
595489.143;6740860.87;100;0.3;100.3;2313
595499.264;6740782.08;101;0.1;101.1;2309
595497.844;6740791.97;101;0.2;101.2;2309
595496.425;6740801.86;101;0.3;101.3;2308
595506.237;6740722.34;102;0.1;102.1;2306
595505.13;6740732.27;102;0.2;102.2;2306
595504.023;6740742.2;102;0.3;102.3;2306
595513.047;6740662.33;103;0.1;103.1;2300
595511.912;6740672.29;103;0.2;103.2;2300
595510.783;6740682.2;103;0.3;103.3;2302
595520.397;6740603.03;104;0.1;104.1;2294
595519.148;6740612.94;104;0.2;104.2;2299
595517.899;6740622.85;104;0.3;104.3;2299
595526.552;6740543.59;105;0.1;105.1;2292
595525.567;6740553.53;105;0.2;105.2;2292
595524.576;6740563.53;105;0.3;105.3;2294
595533.913;6740483.84;106;0.1;106.1;2284
595532.642;6740493.76;106;0.2;106.2;2284
595531.372;6740503.69;106;0.3;106.3;2284
595541.635;6740423.32;107;0.1;107.1;2280
595540.375;6740433.2;107;0.2;107.2;2280
595539.108;6740443.13;107;0.3;107.3;2281
595549.598;6740362.46;108;0.1;108.1;2275
595548.292;6740372.39;108;0.2;108.2;2275
595546.995;6740382.26;108;0.3;108.3;2275
595552.233;6740304.51;109;0.1;109.1;2277
595551.956;6740314.49;109;0.2;109.2;2277
595551.68;6740324.48;109;0.3;109.3;2277
595557.351;6740244.32;110;0.1;110.1;2280
595556.388;6740254.31;110;0.2;110.2;2280
595555.43;6740264.24;110;0.3;110.3;2280
595578.491;6740239.52;111;0.1;111.1;2273
595568.804;6740237.06;111;0.2;111.2;2273
595559.116;6740234.59;111;0.3;111.3;2283
595621.994;6740278.71;112;0.1;112.1;2266
595615.247;6740271.38;112;0.2;112.2;2266
595608.459;6740264.01;112;0.3;112.3;2266
595662.117;6740323.49;113;0.1;113.1;2261
595655.434;6740315.99;113;0.2;113.2;2260
595648.791;6740308.54;113;0.3;113.3;2260
595703.308;6740367.27;114;0.1;114.1;2263
595696.424;6740360.03;114;0.2;114.2;2263
595689.539;6740352.79;114;0.3;114.3;2255
595742.899;6740410.71;115;0.1;115.1;2264
595736.192;6740403.29;115;0.2;115.2;2264
595729.485;6740395.87;115;0.3;115.3;2256
595782.71;6740458.19;116;0.1;116.1;2263
595776.311;6740450.45;116;0.2;116.2;2263
595769.95;6740442.75;116;0.3;116.3;2263
595824.79;6740500.81;117;0.1;117.1;2271
595817.663;6740493.84;117;0.2;117.2;2271
595810.494;6740486.83;117;0.3;117.3;2271
595865.471;6740545.33;118;0.1;118.1;2269
595858.833;6740537.9;118;0.2;118.2;2269
595852.155;6740530.42;118;0.3;118.3;2269
595875.378;6740563.57;119;0.1;119.1;2275
595872.504;6740553.98;119;0.2;119.2;2269
595872.15;6740552.8;119;0.3;119.3;2269
595833.681;6740591.89;120;0.1;120.1;2281
595842.885;6740588.02;120;0.2;120.2;2275
595852.143;6740584.12;120;0.3;120.3;2275
595777.517;6740616.6;121;0.1;121.1;2285
595786.617;6740612.57;121;0.2;121.2;2285
595795.774;6740608.5;121;0.3;121.3;2285
595723.538;6740641.44;122;0.1;122.1;2288
595732.6;6740637.24;122;0.2;122.2;2283
595741.715;6740633.01;122;0.3;122.3;2283
595668.456;6740667.4;123;0.1;123.1;2290
595677.495;6740663.13;123;0.2;123.2;2290
595686.533;6740658.85;123;0.3;123.3;2289
595614.524;6740690.73;124;0.1;124.1;2296
595623.731;6740686.82;124;0.2;124.2;2296
595632.937;6740682.92;124;0.3;124.3;2296
595557.377;6740714.27;125;0.1;125.1;2297
595566.599;6740710.49;125;0.2;125.2;2297
595575.878;6740706.69;125;0.3;125.3;2297
595529.736;6740726.52;126;0.1;126.1;2303
595538.807;6740722.35;126;0.2;126.2;2303
595547.906;6740718.16;126;0.3;126.3;2297
595308.081;6740566.16;127;0.1;127.1;2311
595315.408;6740559.42;127;0.2;127.2;2309
595322.775;6740552.63;127;0.3;127.3;2307
595264.891;6740605.93;128;0.1;128.1;2318
595272.237;6740599.17;128;0.2;128.2;2315
595279.626;6740592.37;128;0.3;128.3;2315
595230.633;6740656.27;129;0.1;129.1;2323
595235.88;6740647.77;129;0.2;129.2;2323
595241.16;6740639.22;129;0.3;129.3;2318
595199.347;6740707.32;130;0.1;130.1;2331
